,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,AVG_RGUILD,AVG_Troph
Moxostoma_carinatum,770,411,5,29,14581.5,3.35,1,Invertivore
Moxostoma_erythrurum,780,296.5,4,11,15725,2.35,1,Invertivore
Hypentelium_nigricans,610,191.5,3.5,10,30000,3,1,Invertivore
Ictiobus_bubalus,1120,344.5,4.5,15,302400,2,2,Herbivore-detritivore
Ictiobus_cyprinellus,1230,340,5.5,20,425000,1.5,1,Herbivore-detritivore
Ictiobus_niger,1230,355,2,24,201276,2.1,2,Herbivore-detritivore
Carpiodes_velifer,500,229,4,8,51999.5,1.2,1,Herbivore-detritivore
Carpiodes_cyprinus,660,277,4,12,187617.5,1.7,1,Herbivore-detritivore
Carpiodes_carpio,640,291.75,4,11,1.00E+05,1.35,1,Herbivore-detritivore
Pylodictis_olivaris,1550,341.5,4.5,24,52038,3.25,4,Piscivore
Ictalurus_punctatus,1320,279.5,2.5,25,35800,3.6,4,Invertivore-piscivore
Ictalurus_furcatus,1650,590,6,21,19712,3.95,4,Piscivore
Ameiurus_melas,582.5,169,3,10,4250,2.27,4,Invertivore-piscivore
Ameiurus_nebulosus,483.33,174.5,3,10,6333.33,2.1,4,Invertivore-piscivore
Ameiurus_natalis,470,233,2.5,7,4325,2.6,4,Invertivore-piscivore
Porochilus_rendahli,240,110,1,4,1000,1.3,1,Invertivore
Tandanus_tandanus,900,300,4,12,20000,2.5,4,Invertivore
Silurus_glanis,4166.67,600,3,55,396000,2.17,3,Piscivore
Astyanax_mexicanus,120,60,0.5,2,18714,0.7,2,Omnivore
Nematalosa_erebi,470,150,1,5,3.00E+05,0.42,1,Herbivore-detritivore
Dorosoma_cepedianum,570,212.5,2,10,283158.5,0.75,1,Omnivore
Dorosoma_petenense,220,93.5,2,4,12900,0.82,1,Invertivore
Alosa_alosa,830,300,3,10,350000,1.75,1,Invertivore
Alosa_agone,380,215,2.5,6,124986.0162,1.203064959,1,Omnivore
Alosa_chrysochloris,500,279.5,2.5,4,519000,0.95,1,Invertivore-piscivore
Hiodon_tergisus,470,271.5,4,10,11100,2,1,Invertivore
Hiodon_alosoides,520,343,6.5,14,14763,3,1,Invertivore-piscivore
Anguilla_reinhardtii,2000,740,25,45,2.00E+06,0.22,1,Invertivore-piscivore
Anguilla_rostrata,1120,520.5,12,50,1450000,0.73,1.353227766,Invertivore-piscivore
Anguilla_anguilla,1776.67,587.5,11.75,52.5,2.00E+06,0.87,1,Invertivore-piscivore
Anguilla_australis,1100,840,20.5,32,6250000,0.24,1,Invertivore-piscivore
Lepisosteus_osseus,2000,761,5,32,39133,2.85,2,Piscivore
Lepisosteus_platostomus,880,431.5,2.5,20,36460,2.65,2,Invertivore-piscivore
Lepisosteus_oculatus,1120,544,3.5,18,7785,3.65,2,Piscivore
