"sYNGEO_ID","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
1164,3.69166666666667,3.91666666666667,3.99166666666667,4.56666666666667,4.71666666666667,4.89166666666667,4.13333333333334,2.26666666666667,4.525,3.88333333333334,3.85
1190,3.375,3.6,3.70833333333334,4.26666666666667,4.39166666666667,4.59166666666667,3.81666666666667,1.94166666666667,4.225,3.56666666666667,3.55
1197,3.09166666666667,3.30833333333334,3.4,3.99166666666667,4.125,4.30833333333334,3.53333333333333,1.71666666666667,3.94166666666667,3.29166666666667,3.26666666666667
1201,2.75,2.95833333333334,3.06666666666667,3.65,3.775,3.98333333333333,3.19166666666667,1.39166666666667,3.60833333333334,2.93333333333334,2.91666666666667
1227,3.20833333333334,3.43333333333334,3.55,4.10833333333334,4.21666666666667,4.45833333333334,3.68333333333334,1.8,4.06666666666667,3.39166666666667,3.36666666666667
1233,3.10833333333334,3.33333333333334,3.425,4,4.11666666666667,4.35,3.575,1.69166666666667,3.975,3.30833333333334,3.275
1268,2.375,2.60833333333333,2.70833333333334,3.28333333333334,3.38333333333334,3.625,2.83333333333334,1.03333333333334,3.25,2.575,2.53333333333334
1324,1.625,1.83333333333334,1.98333333333333,2.48333333333334,2.6,2.875,2.06666666666667,0.24166666666667,2.49166666666667,1.80833333333334,1.73333333333334
1347,3.66666666666667,3.88333333333334,4.075,4.56666666666667,4.6,4.91666666666667,4.08333333333334,2.13333333333334,4.525,3.84166666666667,3.75833333333334
1348,3.71666666666667,3.94166666666667,4.10833333333334,4.60833333333334,4.64166666666667,4.95833333333333,4.14166666666667,2.175,4.56666666666667,3.875,3.8
1354,3.10833333333334,3.35,3.525,4.00833333333334,4.05,4.39166666666667,3.55,1.60833333333333,3.98333333333334,3.29166666666667,3.20833333333334
1355,3.50833333333334,3.74166666666667,3.90833333333334,4.4,4.43333333333334,4.775,3.93333333333334,1.975,4.38333333333334,3.68333333333334,3.6
